competition,our_team_id,our_team_name,our_side,our_result,grade_name,grade_type,round_name,game_id,date,time,venue_name,venue_suburb,court_name,game_type,status,home_team_id,home_team_name,away_team_id,away_team_name,home_score,home_wickets,home_overs,away_score,away_wickets,away_overs,winner_side,outcome,our_position,opponent_position,vs_top_team
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 1,1cac43d7,2026-04-11,13:00:00,Hausler Reserve,Paralowie,Hausler Reserve,T20,FINAL,dd4aac8a,Adelaide Gladiators CC,33d20e37,Southern Strikers,94.0,10.0,15.2,95.0,0.0,13.1,AWAY,Team A won by points,9,5,True
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,HOME,LOSS,Nations & Cultures Cup (Saturdays),REGULAR,Round 2,ba62857f,2026-04-25,09:00:00,Hausler Reserve,Paralowie,Hausler Reserve,T20,FINAL,33d20e37,Southern Strikers,dc179f6d,Royal Kings XI,148.0,10.0,19.1,184.0,7.0,20.0,AWAY,Team A won by points,9,1,True
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,,Nations & Cultures Cup (Saturdays),REGULAR,Round 3,15e939a3,2026-05-02,,,,,T20,CANCELLED,61528fb4,Punjabi Slogger's,33d20e37,Southern Strikers,0.0,0.0,0.0,0.0,0.0,0.0,,Game cancelled,9,6,True
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,HOME,LOSS,Nations & Cultures Cup (Saturdays),REGULAR,Round 4,2ded75f6,2026-05-09,13:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #3,T20,FINAL,33d20e37,Southern Strikers,83d1c943,SBS Strikers,147.0,7.0,20.0,152.0,1.0,14.3,AWAY,Team A won by points,9,3,True
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 5,151761b7,2026-05-23,13:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #1,T20,FINAL,5985b01c,SA Marines,33d20e37,Southern Strikers,96.0,10.0,17.4,155.0,8.0,20.0,AWAY,Team A won by points,9,12,False
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,LOSS,Nations & Cultures Cup (Saturdays),REGULAR,Round 6,07bb9fb5,2026-08-15,09:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #1,T20,FINAL,f8fefefa,Punjab Lions CC,33d20e37,Southern Strikers,143.0,2.0,16.0,141.0,7.0,20.0,HOME,Team A won by points,9,2,True
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 7,c1334814,2026-06-06,09:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #1,T20,FINAL,889dc370,SEA Thunders,33d20e37,Southern Strikers,115.0,8.0,20.0,124.0,8.0,20.0,AWAY,Team A won by points,9,13,False
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,AWAY,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 9,ce67a9a6,2026-06-27,13:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #3,T20,FINAL,4ffca3b9,Youngsters XI,33d20e37,Southern Strikers,118.0,10.0,16.1,123.0,6.0,17.1,AWAY,Team A won by points,9,10,False
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,HOME,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 10,73d3576e,2026-07-04,09:00:00,Victoria Park Sports Fields,ADELAIDE,Victoria Park Sports Fields - Oval #3,T20,FINAL,33d20e37,Southern Strikers,69331fac,Dominators B,132.0,6.0,19.5,131.0,6.0,20.0,HOME,Team A won by points,9,11,False
PASA Multicultural T20 Winter 2026,33d20e37,Southern Strikers,HOME,WIN,Nations & Cultures Cup (Saturdays),REGULAR,Round 11,b6dcf3c8,2026-07-11,,,,,T20,FINAL,33d20e37,Southern Strikers,d5373a07,Royal Strikers,,,,,,,HOME,Win - Forfeit,9,15,False
